command_type,command_key,response_json,usage_count
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello beautiful human"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hey there wanderer"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""greetings from the playa"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""what's up burner"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello you magical being"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hey beautiful soul"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""greetings traveler"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello there friend"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hey wanderer of the playa"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello you radiant being"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""greetings from decompression"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hey there beautiful"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello magical creature"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""greetings friend"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hey there you amazing human"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello and welcome"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""greetings from the dust"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hey there burner"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""hello beautiful wanderer"", ""text_scroller"": null}",0
voice_command,hello,"{""action"": {""type"": ""status"", ""status"": ""wave""}, ""tts_response"": ""greetings from black rock city"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""opening my eye for you"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""let me see you"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""eye mode activated"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""watching the playa"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""all eyes on you"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""opening my digital eye"", ""text_scroller"": null}",0
voice_command,eye,"{""action"": {""type"": ""status"", ""status"": ""eye""}, ""tts_response"": ""let me gaze upon you"", ""text_scroller"": null}",0
